text,label
Mom calling,urgent
Bank transaction alert,urgent
Discord message,ignore
Instagram like,ignore
Calendar meeting in 10 minutes,important
Uber arriving,important
Low battery warning,urgent
Friend sent meme,ignore
car crash on highway urgent help,urgent
call me immediately emergency,urgent
hospital emergency please answer,urgent
ambulance on the way call back,urgent
i was in an accident please respond,urgent
help me now urgent situation,urgent
family emergency call asap,urgent
911 call me right now,urgent
urgent medical help needed,urgent
please pick up important emergency,urgent
injured please respond quickly,urgent
fire at the building call now,urgent
urgent situation please answer,urgent
major accident call me asap,urgent
doctor needs to reach you urgently,urgent
hospital calling urgent response needed,urgent
emergency at home please answer,urgent
serious issue call me immediately,urgent
urgent safety issue please respond,urgent
car accident please answer now,urgent
i need help right now urgent,urgent
something bad happened call me,urgent
please respond emergency situation,urgent
call me asap something wrong,urgent
urgent help required now,urgent
family member injured call now,urgent
emergency please answer phone,urgent
important emergency contact me,urgent
urgent accident report please respond,urgent
medical emergency please answer now,urgent
call immediately critical situation,urgent
please respond urgent family issue,urgent
dangerous situation call me now,urgent
emergency response required immediately,urgent
need urgent help call me,urgent
please answer urgent call,urgent
hospital issue please respond asap,urgent
call now emergency situation,urgent
help needed urgently please answer,urgent
urgent call regarding accident,urgent
critical issue please call now,urgent
emergency please contact immediately,urgent
call now important urgent issue,urgent
help emergency call immediately,urgent
something urgent please respond,urgent
need help urgent situation,urgent
doctor calling urgent matter,urgent
please call urgent emergency,urgent
important emergency please answer,urgent
im hurt please call now,urgent
call me now hospital issue,urgent
family emergency urgent call,urgent
major injury please answer phone,urgent
emergency alert call now,urgent
critical accident please respond,urgent
danger emergency please answer,urgent
need immediate help please respond,urgent
urgent medical attention needed,urgent
please call immediately emergency,urgent
911 emergency contact needed,urgent
life threatening emergency please respond,urgent
urgent call about accident,urgent
hospital emergency contact me,urgent
serious accident call now,urgent
emergency please reply immediately,urgent
critical family emergency please answer,urgent
important urgent phone call please answer,urgent
dangerous emergency call now,urgent
urgent doctor message please respond,urgent
need help now emergency,urgent
urgent hospital message please answer,urgent
please answer emergency phone call,urgent
serious urgent issue call me,urgent
help needed emergency call,urgent
please contact urgent emergency,urgent
major emergency call now please,urgent
doctor emergency please respond,urgent
urgent help required immediately,urgent
emergency situation please answer phone,urgent
call me urgent hospital issue,urgent
im in danger call me now,urgent
urgent family accident call now,urgent
please respond urgent danger situation,urgent
important emergency message please answer,urgent
urgent please contact immediately,urgent
critical medical situation please respond,urgent
emergency accident call immediately,urgent
danger please answer urgent call,urgent
serious emergency situation please respond,urgent
hospital emergency message call now,urgent
urgent help needed immediately please respond,urgent
critical family situation please answer,urgent
urgent doctor call please answer,urgent
danger accident urgent response needed,urgent
please answer urgent medical call,urgent
important hospital emergency please respond,urgent
major accident urgent call needed,urgent
amazon package shipped,ignore
your order has been delivered,ignore
new instagram like on your post,ignore
friend sent you a meme,ignore
meeting reminder tomorrow,ignore
spotify playlist updated,ignore
new email received,ignore
calendar event reminder,ignore
youtube video recommendation,ignore
twitter notification new follower,ignore
weather update today sunny,ignore
news alert breaking story,ignore
sale now on your favorite store,ignore
your ride is arriving soon,ignore
food delivery on the way,ignore
weekly newsletter available,ignore
new message in group chat,ignore
your daily step goal reached,ignore
reminder to drink water,ignore
app update available now,ignore
facebook memory from last year,ignore
friend tagged you in photo,ignore
new comment on your post,ignore
game energy refilled,ignore
new badge unlocked in game,ignore
promotion offer limited time,ignore
flash sale starting soon,ignore
daily reward available,ignore
your package will arrive tomorrow,ignore
new episode available now,ignore
newsletter subscription update,ignore
new message from group chat,ignore
reminder to check calendar,ignore
your phone backup completed,ignore
daily reminder check tasks,ignore
task deadline approaching tomorrow,ignore
shopping cart items waiting,ignore
friend shared a video,ignore
new photo uploaded to album,ignore
weekly report ready to view,ignore
new blog post available,ignore
reminder pay electricity bill,ignore
new app feature announcement,ignore
your subscription renewed successfully,ignore
meeting starting in 10 minutes,ignore
delivery driver nearby,ignore
daily meditation reminder,ignore
your fitness summary today,ignore
new comment on your video,ignore
friend reacted to message,ignore
reminder take medication,ignore
news digest ready,ignore
system maintenance scheduled tonight,ignore
password changed successfully,ignore
storage almost full warning,ignore
backup completed successfully,ignore
calendar invite received,ignore
flight check-in reminder,ignore
hotel booking confirmation,ignore
ride receipt available,ignore
reminder grocery shopping,ignore
package out for delivery,ignore
weather alert rain expected,ignore
weekly meeting reminder,ignore
friend sent sticker,ignore
game update installed,ignore
new achievement unlocked,ignore
daily news briefing ready,ignore
reminder call mom later,ignore
app login from new device,ignore
software update installed,ignore
promotion code available now,ignore
daily habit reminder,ignore
weekly summary ready,ignore
friend invited you to event,ignore
new message request received,ignore
discount coupon available,ignore
new song released today,ignore
system notification completed task,ignore
monthly report ready,ignore
calendar reminder dinner tonight,ignore
new follower on social media,ignore
friend started live video,ignore
daily workout reminder,ignore
new feature announcement app,ignore
promotion email received,ignore
flight boarding reminder,ignore
subscription expiring soon,ignore
appointment reminder tomorrow,ignore
weekly newsletter ready,ignore
food order confirmed,ignore
meeting notes shared,ignore
new comment on blog,ignore
photo memories notification,ignore
daily productivity reminder,ignore
new podcast episode available,ignore
shopping deal notification,ignore
friend mentioned you in chat,ignore
